Name,Team,AVG,OBP,SLG,OPS,BABIP,wRC+,xBA,wOBA,xwOBA,ERA,ERA-,FIP,xFIP,FIP-,xFIP-,WHIP,SIERA
A.J. Minter,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,85.0,2.9,3.38,67.0,77.0,1.19,3.06
A.J. Pollock,- - -,0.165,0.215,0.308,0.524,0.173,43.0,0.2,0.227,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Puk,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,90.0,3.59,3.02,83.0,69.0,1.18,2.66
AJ Smith-Shawver,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,96.0,6.69,5.71,155.0,130.0,1.11,5.25
Aaron Bummer,CHW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79,157.0,3.58,3.51,80.0,82.0,1.53,3.72
Aaron Civale,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,84.0,3.57,4.1,85.0,96.0,1.16,4.15
Aaron Hicks,- - -,0.253,0.353,0.383,0.735,0.311,109.0,0.208,0.326,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Judge,NYY,0.267,0.406,0.613,1.019,0.3,174.0,0.291,0.42,0.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Loup,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,140.0,4.36,4.6,99.0,107.0,1.75,4.33
Aaron Nola,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,101.0,4.03,3.63,90.0,83.0,1.15,3.75
Abner Uribe,MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,40.0,2.77,3.68,63.0,84.0,1.17,4.05
Abraham Almonte,NYM,0.067,0.125,0.133,0.258,0.143,-29.0,0.14,0.121,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abraham Toro,MIL,0.444,0.524,0.778,1.302,0.545,250.0,0.374,0.544,0.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Cimber,TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,175.0,7.46,5.37,171.0,125.0,1.55,4.91
Adam Duvall,BOS,0.247,0.303,0.531,0.834,0.299,116.0,0.21,0.347,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Engel,SDP,0.0,0.0,0.0,0.0,0.0,-100.0,0.092,0.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Frazier,BAL,0.24,0.3,0.396,0.696,0.258,93.0,0.26,0.302,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Haseley,CHW,0.222,0.282,0.278,0.56,0.286,55.0,0.251,0.253,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Kolarek,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,2.75,45.0,63.0,0.5,2.28
Adam Oller,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.07,247.0,7.22,6.94,173.0,162.0,2.08,6.02
Adam Ottavino,NYM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,77.0,4.52,4.33,105.0,99.0,1.22,4.04
Adam Wainwright,STL,0.0,0.0,0.0,0.0,0.0,-100.0,0.103,0.0,0.093,7.4,173.0,5.99,5.77,139.0,132.0,1.9,5.83
Adbert Alzolay,CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,62.0,3.02,3.56,70.0,81.0,1.02,3.21
Adley Rutschman,BAL,0.277,0.374,0.435,0.809,0.303,127.0,0.29,0.352,0.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adolis Garcia,TEX,0.245,0.328,0.508,0.836,0.28,124.0,0.249,0.354,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Houser,MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,94.0,3.99,4.3,91.0,98.0,1.39,4.45
Adrian Martinez,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,116.0,4.75,4.66,114.0,109.0,1.42,4.35
Adrian Morejon,SDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,169.0,4.59,4.98,106.0,114.0,2.11,5.01
Akil Baddoo,DET,0.218,0.31,0.372,0.682,0.268,88.0,0.216,0.299,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Busenitz,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,56.0,2.26,4.14,49.0,95.0,1.29,4.11
Alan Trejo,COL,0.232,0.288,0.343,0.631,0.286,56.0,0.233,0.277,0.278,13.5,268.0,15.26,8.04,330.0,184.0,2.0,6.92
Albert Abreu,NYY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73,113.0,5.26,4.98,121.0,116.0,1.47,4.6
Alec Bohm,PHI,0.274,0.327,0.437,0.765,0.296,105.0,0.287,0.329,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burleson,STL,0.244,0.3,0.39,0.691,0.261,89.0,0.268,0.3,0.329,21.6,506.0,9.86,6.02,229.0,138.0,4.8,5.12
Alec Marsh,KCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69,128.0,5.7,4.84,134.0,113.0,1.56,4.38
Alec Mills,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,391.0,22.26,12.56,482.0,287.0,5.0,5.85
Aledmys Diaz,OAK,0.229,0.28,0.337,0.616,0.273,72.0,0.234,0.268,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Kirk,TOR,0.25,0.334,0.358,0.692,0.265,96.0,0.249,0.308,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejo Lopez,CIN,0.5,0.5,1.0,1.5,1.0,297.0,0.48,0.622,0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alek Jacob,SDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.47,21.0,34.0,0.33,1.65
Alek Manoah,TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87,139.0,6.01,5.85,138.0,136.0,1.74,5.65
Alek Thomas,ARI,0.23,0.273,0.374,0.647,0.273,71.0,0.249,0.278,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Bregman,HOU,0.262,0.363,0.441,0.804,0.27,125.0,0.262,0.351,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Call,WSN,0.2,0.307,0.307,0.614,0.23,73.0,0.216,0.28,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Cobb,SFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,92.0,4.01,3.51,96.0,80.0,1.32,3.81
Alex Colome,CHW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,139.0,9.26,5.47,207.0,128.0,1.67,5.92
Alex Faedo,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,104.0,4.85,4.58,114.0,107.0,1.05,4.42
Alex Kirilloff,MIN,0.27,0.348,0.445,0.793,0.337,120.0,0.26,0.343,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Lange,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,86.0,4.36,4.38,103.0,102.0,1.33,4.41
Alex Speas,TEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,308.0,6.76,8.41,153.0,196.0,3.5,9.45
Alex Verdugo,BOS,0.264,0.324,0.421,0.745,0.294,98.0,0.275,0.322,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Vesia,LAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,102.0,3.66,4.12,83.0,94.0,1.39,3.38
Alex Wood,SFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,103.0,4.47,5.14,107.0,117.0,1.43,4.98
Alex Young,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,84.0,4.99,4.26,108.0,97.0,1.36,4.09
Alexander Canario,CHC,0.294,0.294,0.647,0.941,0.5,146.0,0.226,0.387,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexis Diaz,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,67.0,3.52,4.2,76.0,96.0,1.19,3.76
Alfonso Rivas,- - -,0.229,0.303,0.422,0.725,0.31,94.0,0.216,0.313,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alika Williams,PIT,0.198,0.27,0.248,0.518,0.303,43.0,0.201,0.238,0.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan Winans,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,119.0,4.09,3.97,95.0,91.0,1.39,3.88
Amed Rosario,- - -,0.263,0.305,0.378,0.683,0.314,88.0,0.269,0.297,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Garrett,KCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,75.0,5.56,5.05,130.0,118.0,1.73,5.1
Amos Willingham,WSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66,152.0,7.53,6.24,170.0,143.0,1.81,5.35
Andre Jackson,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99,114.0,4.9,4.46,112.0,102.0,1.21,4.3
Andre Lipcius,DET,0.286,0.342,0.4,0.742,0.346,107.0,0.238,0.326,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Pallante,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,112.0,4.59,4.01,107.0,91.0,1.56,3.48
Andres Gimenez,CLE,0.251,0.314,0.399,0.712,0.289,97.0,0.245,0.309,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andres Machado,WSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22,119.0,5.5,4.03,124.0,92.0,1.32,3.96
Andres Munoz,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,72.0,2.7,3.12,65.0,73.0,1.27,3.08
Andrew Abbott,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,84.0,4.2,4.56,91.0,104.0,1.32,4.33
Andrew Bellatti,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.11,116.0,4.8,4.97,107.0,113.0,1.5,4.47
Andrew Benintendi,CHW,0.262,0.326,0.356,0.682,0.301,87.0,0.267,0.299,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Chafin,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73,108.0,4.01,4.07,93.0,93.0,1.42,3.95
Andrew Heaney,TEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,95.0,4.66,4.58,106.0,107.0,1.38,4.4
Andrew Kittredge,TBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,76.0,3.43,4.15,83.0,97.0,1.2,3.85
Andrew Knizner,STL,0.241,0.288,0.424,0.712,0.288,92.0,0.22,0.306,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew McCutchen,PIT,0.256,0.378,0.397,0.776,0.312,115.0,0.255,0.345,0.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Nardi,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,61.0,3.6,3.46,84.0,79.0,1.15,3.18
Andrew Saalfrank,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,3.74,77.0,85.0,1.06,3.64
Andrew Stevenson,MIN,0.189,0.25,0.216,0.466,0.241,32.0,0.163,0.216,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Suarez,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16,168.0,6.94,6.16,161.0,141.0,1.73,5.67
Andrew Vasquez,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,77.0,4.41,4.98,100.0,114.0,1.43,4.57
Andrew Vaughn,CHW,0.258,0.314,0.429,0.743,0.299,103.0,0.249,0.321,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Velazquez,LAA,0.173,0.264,0.284,0.548,0.245,52.0,0.143,0.249,0.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wantz,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,89.0,4.12,5.11,94.0,119.0,1.09,4.66
Andruw Monasterio,MIL,0.259,0.33,0.348,0.678,0.326,88.0,0.249,0.302,0.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Ibanez,DET,0.264,0.312,0.433,0.744,0.3,103.0,0.269,0.32,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angel Felipe,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,103.0,3.52,4.62,85.0,108.0,1.27,4.99
Angel Perdomo,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,84.0,3.01,3.15,69.0,72.0,1.1,2.62
Angel Zerpa,KCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,109.0,4.54,4.04,107.0,94.0,1.27,3.81
Anthony Banda,WSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,146.0,5.97,5.53,135.0,126.0,2.0,5.42
Anthony Bass,TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,117.0,4.66,4.61,107.0,108.0,1.4,4.4
Anthony Bemboom,BAL,0.182,0.308,0.182,0.49,0.222,52.0,0.115,0.243,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony DeSclafani,SFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88,116.0,4.35,4.15,104.0,95.0,1.25,4.37
Anthony Kay,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14,143.0,5.78,6.03,133.0,138.0,1.5,5.58
Anthony Misiewicz,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36,170.0,5.8,5.99,136.0,138.0,2.09,5.51
Anthony Rendon,LAA,0.236,0.361,0.318,0.678,0.268,95.0,0.263,0.312,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Rizzo,NYY,0.244,0.328,0.378,0.706,0.298,100.0,0.244,0.312,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Santander,BAL,0.257,0.325,0.472,0.797,0.299,119.0,0.235,0.34,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Veneziano,KCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,8.51,117.0,199.0,1.71,7.7
Anthony Volpe,NYY,0.209,0.283,0.383,0.666,0.259,84.0,0.229,0.29,0.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Senzatela,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,93.0,8.08,4.5,175.0,103.0,1.17,4.89
Archie Bradley,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.05,251.0,6.53,5.24,151.0,120.0,2.18,4.5
Aroldis Chapman,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,70.0,2.52,2.59,58.0,60.0,1.25,2.95
Austin Adams,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,130.0,3.72,4.68,88.0,107.0,1.38,3.72
Austin Barnes,LAD,0.18,0.256,0.242,0.498,0.222,41.0,0.211,0.229,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Cox,KCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,102.0,3.73,4.76,88.0,111.0,1.26,4.6
Austin Gomber,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,109.0,5.43,5.08,117.0,116.0,1.49,5.24
Austin Hays,BAL,0.275,0.325,0.444,0.769,0.345,112.0,0.241,0.33,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Hedges,- - -,0.184,0.234,0.227,0.461,0.236,24.0,0.208,0.209,0.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Hedges,TEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,112.0,7.07,8.04,161.0,188.0,1.36,7.99
Austin Meadows,DET,0.238,0.238,0.286,0.524,0.278,38.0,0.236,0.227,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Nola,SDP,0.146,0.26,0.192,0.452,0.184,38.0,0.195,0.22,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Pruitt,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,73.0,4.17,5.04,100.0,118.0,1.16,4.83
Austin Riley,ATL,0.281,0.345,0.516,0.861,0.324,127.0,0.271,0.363,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Slater,SFG,0.27,0.348,0.4,0.748,0.369,110.0,0.253,0.33,0.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Voth,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19,124.0,5.1,5.09,121.0,119.0,1.56,4.4
Austin Warren,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,124.0,8.66,3.83,197.0,89.0,1.2,3.62
Austin Wells,NYY,0.229,0.257,0.486,0.742,0.226,97.0,0.275,0.309,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Wynns,- - -,0.208,0.268,0.277,0.545,0.286,37.0,0.181,0.245,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avisail Garcia,MIA,0.185,0.241,0.315,0.556,0.258,46.0,0.227,0.241,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bailey Falter,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,121.0,5.25,4.56,119.0,104.0,1.41,4.66
Bailey Ober,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,81.0,3.96,4.2,94.0,98.0,1.07,3.87
Beau Brieske,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,84.0,4.0,4.35,94.0,102.0,1.37,4.22
Ben Gamel,SDP,0.2,0.2,0.267,0.467,0.231,25.0,0.204,0.201,0.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Heller,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,87.0,5.02,5.31,116.0,121.0,1.45,5.0
Ben Joyce,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,124.0,5.56,6.24,127.0,146.0,1.8,5.77
Ben Lively,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,117.0,5.35,4.42,116.0,101.0,1.36,4.33
Ben Rortvedt,NYY,0.118,0.241,0.221,0.461,0.128,35.0,0.18,0.219,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bennett Sousa,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,91.0,3.14,3.54,72.0,82.0,0.89,3.01
Billy Hamilton,CHW,0.0,0.0,0.0,0.0,0.0,-100.0,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy McKinney,NYY,0.227,0.32,0.406,0.726,0.274,101.0,0.241,0.315,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blair Calvo,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,3.26,71.0,74.0,0.0,2.54
Blake Perkins,MIL,0.217,0.325,0.35,0.675,0.29,88.0,0.194,0.303,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Rutherford,WSN,0.171,0.194,0.171,0.366,0.24,-4.0,0.156,0.166,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Sabol,SFG,0.235,0.301,0.394,0.695,0.33,92.0,0.198,0.303,0.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Snell,SDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,54.0,3.44,3.62,80.0,83.0,1.19,4.06
Bligh Madris,HOU,0.154,0.267,0.192,0.459,0.211,36.0,0.207,0.222,0.29,9.0,212.0,19.26,9.56,456.0,223.0,2.0,10.6
Bo Bichette,TOR,0.306,0.339,0.475,0.814,0.355,125.0,0.308,0.349,0.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bo Naylor,CLE,0.237,0.339,0.47,0.809,0.267,124.0,0.218,0.347,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Dalbec,BOS,0.204,0.264,0.306,0.57,0.45,51.0,0.193,0.254,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Miller,LAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,88.0,3.51,3.75,79.0,86.0,1.1,3.93
Bobby Witt Jr.,KCR,0.276,0.319,0.495,0.813,0.295,115.0,0.297,0.343,0.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bowden Francis,TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,41.0,3.86,4.16,88.0,97.0,0.83,3.53
Brad Boxberger,CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,114.0,5.31,5.01,122.0,114.0,1.3,4.91
Brad Hand,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53,117.0,4.02,4.01,89.0,92.0,1.42,3.87
Brad Keller,KCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57,102.0,5.92,6.41,139.0,150.0,1.92,7.11
Brad Miller,TEX,0.214,0.328,0.339,0.668,0.244,87.0,0.221,0.3,0.309,13.5,308.0,12.76,8.74,290.0,204.0,2.0,9.43
Braden Bristo,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,60.0,3.54,6.14,84.0,143.0,1.29,5.57
Braden Shewmake,ATL,0.0,0.0,0.0,0.0,0.0,-100.0,0.121,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brady Singer,KCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52,124.0,4.29,4.28,101.0,100.0,1.45,4.46
Brandon Belt,TOR,0.254,0.369,0.49,0.858,0.37,138.0,0.211,0.369,0.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Bielak,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82,90.0,5.19,4.9,123.0,114.0,1.52,5.02
Brandon Crawford,SFG,0.194,0.273,0.314,0.587,0.241,63.0,0.217,0.26,0.293,0.0,0.0,6.26,11.22,149.0,256.0,2.0,10.34
Brandon Dixon,SDP,0.203,0.244,0.329,0.573,0.292,57.0,0.189,0.249,0.242,0.0,0.0,3.26,6.56,75.0,150.0,0.0,7.57
Brandon Drury,LAA,0.262,0.306,0.497,0.803,0.308,114.0,0.253,0.339,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Hughes,CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24,167.0,4.65,4.32,107.0,99.0,1.61,4.12
Brandon Lowe,TBR,0.231,0.328,0.443,0.771,0.275,117.0,0.232,0.334,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Marsh,PHI,0.277,0.372,0.458,0.829,0.397,125.0,0.233,0.358,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Nimmo,NYM,0.274,0.363,0.466,0.829,0.324,130.0,0.264,0.359,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Pfaadt,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72,130.0,5.18,4.46,122.0,102.0,1.41,4.28
Brandon Walter,BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26,138.0,4.6,5.28,107.0,123.0,1.7,4.74
Brandon Williamson,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,97.0,4.63,4.72,100.0,108.0,1.28,4.72
Brandon Woodruff,MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,52.0,3.6,3.63,82.0,83.0,0.82,3.45
Braxton Garrett,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,83.0,3.68,3.42,85.0,78.0,1.15,3.62
Brayan Bello,BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24,93.0,4.54,4.02,105.0,94.0,1.34,4.18
Brayan Rocchio,CLE,0.247,0.279,0.321,0.6,0.364,65.0,0.184,0.263,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brenan Hanifee,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,126.0,4.66,4.37,110.0,102.0,1.6,3.96
Brendan Donovan,STL,0.284,0.365,0.422,0.787,0.311,118.0,0.283,0.345,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brendan Rodgers,COL,0.258,0.313,0.388,0.7,0.316,76.0,0.252,0.307,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brendan White,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09,119.0,3.85,3.87,91.0,90.0,1.35,3.62
Brennan Bernardino,BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,70.0,3.41,3.56,79.0,83.0,1.3,3.45
Brent Headrick,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31,149.0,6.1,5.45,144.0,127.0,1.44,4.25
